EmployeeID,Name,Department,JobRole,HireDate,Gender,Salary,ManagerID,ReviewID,ReviewDate,PerformanceScore,TrainingHours,Promotion,Attrition,HireYear,HireMonth
71, Employee 71 ,Marketing,Executive,06-02-2024 00:00,M,120642,54,71,30-06-2025 00:00,5,59,No,No,2024,February
72,Employee 72,Marketing,Analyst,09-03-2021 00:00,M,73663,40,72,30-06-2025 00:00,3,21,Yes,Yes,2021,March
73,Employee 73,IT,Executive,29-01-2019 00:00,M,34643,83,73,30-06-2025 00:00,4,35,No,No,2019,January
74,Employee 74,Finance,Executive,16-12-2020 00:00,M,110719,73,74,30-06-2025 00:00,3,67,No,Yes,2020,December
75,Employee 75,Sales,Executive,30-06-2019 00:00,F,104870,20,75,30-06-2025 00:00,4,80,Yes,Yes,2019,June
76,Employee 76,HR,Analyst,15-07-2023 00:00,F,41469,46,76,30-06-2025 00:00,4,56,No,Yes,2023,July
77,Employee 77,Finance,Manager,02-06-2022 00:00,M,63189,24,77,30-06-2025 00:00,1,63,No,Yes,2022,June
78,Employee 78,IT,Analyst,08-10-2024 00:00,F,140252,99,78,30-06-2025 00:00,3,74,No,Yes,2024,October
79,Employee 79,IT,Analyst,15-12-2022 00:00,M,127768,65,79,30-06-2025 00:00,3,71,Yes,No,2022,December
80,Employee 80,Marketing,Analyst,02-11-2022 00:00,F,37748,85,80,30-06-2025 00:00,2,4,No,Yes,2022,November
81,Employee 81,IT,Associate,16-12-2022 00:00,M,116277,16,81,30-06-2025 00:00,1,64,No,Yes,2022,December
82,Employee 82,Marketing,Analyst,01-09-2021 00:00,F,85127,15,82,30-06-2025 00:00,2,54,Yes,No,2021,September
83,Employee 83,Finance,Manager,12-09-2023 00:00,M,112786,70,83,30-06-2025 00:00,3,63,Yes,No,2023,September
84,Employee 84,IT,Associate,03-08-2021 00:00,F,95960,41,84,30-06-2025 00:00,2,60,No,No,2021,August
85,Employee 85,IT,Analyst,07-12-2021 00:00,M,103529,73,85,30-06-2025 00:00,5,18,No,No,2021,December
86,Employee 86,HR,Associate,06-09-2024 00:00,M,108111,92,86,30-06-2025 00:00,5,72,Yes,No,2024,September
87,Employee 87,IT,Executive,13-07-2020 00:00,M,83014,81,87,30-06-2025 00:00,2,52,Yes,No,2020,July
88,Employee 88,Finance,Executive,09-12-2019 00:00,M,72689,2,88,30-06-2025 00:00,4,0,Yes,No,2019,December
89,Employee 89,Marketing,Executive,02-07-2022 00:00,F,43522,87,89,30-06-2025 00:00,1,49,Yes,Yes,2022,July
90,Employee 90,Sales,Manager,30-03-2021 00:00,F,39210,12,90,30-06-2025 00:00,3,52,No,Yes,2021,March
91,Employee 91,HR,Analyst,06-01-2018 00:00,M,71673,40,91,30-06-2025 00:00,3,15,No,No,2018,January
92,Employee 92,IT,Executive,10-01-2019 00:00,M,93295,8,92,30-06-2025 00:00,3,36,Yes,No,2019,January
93,Employee 93,Sales,Associate,24-09-2022 00:00,F,42616,81,93,30-06-2025 00:00,2,4,Yes,Yes,2022,September
94,Employee 94,Finance,Associate,01-08-2020 00:00,F,125973,71,94,30-06-2025 00:00,2,32,Yes,Yes,2020,August
95,Employee 95,HR,Executive,26-07-2023 00:00,M,57613,100,95,30-06-2025 00:00,2,44,No,No,2023,July
96,Employee 96,Sales,Associate,18-11-2022 00:00,F,54453,53,96,30-06-2025 00:00,1,56,Yes,No,2022,November
97,Employee 97,Finance,Associate,30-09-2023 00:00,F,82848,6,97,30-06-2025 00:00,3,76,Yes,No,2023,September
98,Employee 98,Sales,Analyst,27-10-2021 00:00,F,46686,96,98,30-06-2025 00:00,5,48,No,No,2021,October
99,Employee 99,Marketing,Analyst,16-07-2020 00:00,M,145122,61,99,30-06-2025 00:00,2,80,Yes,Yes,2020,July
100,Employee 100,Sales,Associate,21-12-2022 00:00,M,47043,70,100,30-06-2025 00:00,3,56,No,No,2022,December
101,Employee 101,Sales,Manager,09-05-2019 00:00,M,119826,46,101,30-06-2025 00:00,3,55,Yes,No,2019,May
102,Employee 102,Finance,Manager,04-09-2022 00:00,F,46681,56,102,30-06-2025 00:00,2,7,Yes,No,2022,September
103,Employee 103,Marketing,Manager,24-07-2018 00:00,M,110168,59,103,30-06-2025 00:00,4,59,Yes,No,2018,July
104,Employee 104,HR,Manager,26-04-2024 00:00,F,148046,6,104,30-06-2025 00:00,2,52,Yes,No,2024,April
105,Employee 105,Marketing,Associate,14-09-2019 00:00,F,105357,98,105,30-06-2025 00:00,4,68,No,Yes,2019,September
106,Employee 106,Finance,Executive,14-11-2021 00:00,M,50576,16,106,30-06-2025 00:00,4,28,No,Yes,2021,November
107,Employee 107,Finance,Associate,26-01-2023 00:00,M,51575,20,107,30-06-2025 00:00,3,46,No,No,2023,January
108,Employee 108,IT,Associate,20-10-2022 00:00,M,43892,71,108,30-06-2025 00:00,5,76,Yes,No,2022,October
109,Employee 109,Finance,Executive,16-08-2018 00:00,F,83411,47,109,30-06-2025 00:00,3,61,No,No,2018,August
110,Employee 110,Finance,Manager,01-11-2020 00:00,F,134954,67,110,30-06-2025 00:00,4,11,No,Yes,2020,November
111,Employee 111,HR,Manager,17-08-2018 00:00,F,31102,70,111,30-06-2025 00:00,3,54,Yes,No,2018,August
112,Employee 112,IT,Analyst,20-02-2018 00:00,F,119748,5,112,30-06-2025 00:00,3,14,Yes,Yes,2018,February
113,Employee 113,Sales,Associate,09-09-2019 00:00,M,89479,58,113,30-06-2025 00:00,2,58,No,Yes,2019,September
114,Employee 114,Finance,Manager,22-08-2022 00:00,F,109497,10,114,30-06-2025 00:00,4,0,Yes,No,2022,August
115,Employee 115,Finance,Associate,07-04-2018 00:00,F,93398,92,115,30-06-2025 00:00,4,34,No,Yes,2018,April
116,Employee 116,Sales,Manager,20-11-2022 00:00,F,40453,68,116,30-06-2025 00:00,5,16,No,No,2022,November
117,Employee 117,Finance,Manager,20-08-2024 00:00,M,95300,52,117,30-06-2025 00:00,5,55,No,No,2024,August
118,Employee 118,Sales,Executive,12-04-2020 00:00,M,70551,48,118,30-06-2025 00:00,5,76,No,No,2020,April
119,Employee 119,Sales,Associate,18-08-2022 00:00,F,75181,13,119,30-06-2025 00:00,3,24,No,Yes,2022,August
120,Employee 120,IT,Analyst,16-07-2023 00:00,M,61480,88,120,30-06-2025 00:00,3,13,No,No,2023,July
121,Employee 121,Marketing,Associate,05-09-2018 00:00,M,134967,31,121,30-06-2025 00:00,2,54,No,Yes,2018,September
122,Employee 122,Sales,Executive,12-02-2018 00:00,M,36200,56,122,30-06-2025 00:00,3,20,Yes,No,2018,February
123,Employee 123,Finance,Associate,12-07-2022 00:00,M,75923,52,123,30-06-2025 00:00,4,52,No,Yes,2022,July
124,Employee 124,Finance,Associate,02-10-2023 00:00,M,74362,50,124,30-06-2025 00:00,4,78,No,Yes,2023,October
125,Employee 125,Finance,Associate,22-08-2021 00:00,M,118436,38,125,30-06-2025 00:00,4,74,No,Yes,2021,August
126,Employee 126,Sales,Manager,11-06-2021 00:00,F,34202,25,126,30-06-2025 00:00,3,38,Yes,No,2021,June
127,Employee 127,Marketing,Manager,31-08-2018 00:00,F,125343,25,127,30-06-2025 00:00,3,57,Yes,Yes,2018,August
128,Employee 128,IT,Executive,19-12-2021 00:00,M,73757,71,128,30-06-2025 00:00,4,53,No,Yes,2021,December
129,Employee 129,Marketing,Manager,08-07-2020 00:00,F,135008,53,129,30-06-2025 00:00,4,49,No,No,2020,July
130,Employee 130,IT,Associate,14-12-2021 00:00,M,34134,79,130,30-06-2025 00:00,3,12,No,No,2021,December
131,Employee 131,Marketing,Analyst,09-03-2018 00:00,F,44145,76,131,30-06-2025 00:00,2,80,Yes,No,2018,March
132,Employee 132,Marketing,Associate,01-12-2018 00:00,F,141135,75,132,30-06-2025 00:00,1,33,Yes,No,2018,December
133,Employee 133,HR,Manager,16-12-2022 00:00,M,98113,87,133,30-06-2025 00:00,5,62,No,No,2022,December
134,Employee 134,IT,Manager,10-09-2019 00:00,M,115816,85,134,30-06-2025 00:00,3,17,Yes,No,2019,September
135,Employee 135,Marketing,Manager,07-05-2021 00:00,F,121373,4,135,30-06-2025 00:00,1,67,Yes,Yes,2021,May
136,Employee 136,Marketing,Manager,30-01-2024 00:00,F,32774,24,136,30-06-2025 00:00,2,65,No,Yes,2024,January
137,Employee 137,IT,Associate,23-06-2018 00:00,M,126964,6,137,30-06-2025 00:00,5,13,Yes,Yes,2018,June
138,Employee 138,HR,Analyst,13-09-2024 00:00,M,135479,32,138,30-06-2025 00:00,4,77,No,Yes,2024,September
139,Employee 139,Sales,Associate,24-01-2023 00:00,M,118607,33,139,30-06-2025 00:00,4,75,Yes,Yes,2023,January
140,Employee 140,Marketing,Analyst,19-10-2024 00:00,F,70652,86,140,30-06-2025 00:00,3,45,Yes,Yes,2024,October
141,Employee 141,Marketing,Associate,26-07-2020 00:00,M,149942,24,141,30-06-2025 00:00,5,30,Yes,No,2020,July
142,Employee 142,Finance,Executive,19-07-2020 00:00,M,31206,11,142,30-06-2025 00:00,4,14,No,Yes,2020,July
143,Employee 143,Finance,Associate,28-12-2021 00:00,F,31879,6,143,30-06-2025 00:00,3,31,No,Yes,2021,December
144,Employee 144,Sales,Analyst,10-05-2019 00:00,F,42781,12,144,30-06-2025 00:00,5,60,Yes,No,2019,May
145,Employee 145,Finance,Manager,04-10-2022 00:00,M,70212,18,145,30-06-2025 00:00,4,66,No,No,2022,October
146,Employee 146,Marketing,Manager,11-08-2024 00:00,F,94200,71,146,30-06-2025 00:00,3,6,Yes,Yes,2024,August
147,Employee 147,HR,Executive,27-12-2022 00:00,F,50080,77,147,30-06-2025 00:00,4,72,Yes,Yes,2022,December
148,Employee 148,Marketing,Analyst,18-10-2021 00:00,F,97399,93,148,30-06-2025 00:00,1,42,No,No,2021,October
149,Employee 149,Finance,Manager,04-02-2021 00:00,F,45485,38,149,30-06-2025 00:00,1,18,No,Yes,2021,February
150,Employee 150,Finance,Executive,25-05-2019 00:00,F,97024,90,150,30-06-2025 00:00,5,78,No,Yes,2019,May
151,Employee 151,Finance,Associate,14-04-2019 00:00,F,120459,85,151,30-06-2025 00:00,3,72,No,Yes,2019,April
152,Employee 152,IT,Manager,22-04-2022 00:00,F,58770,39,152,30-06-2025 00:00,4,62,No,No,2022,April
153,Employee 153,Marketing,Analyst,20-12-2018 00:00,F,76285,30,153,30-06-2025 00:00,3,79,Yes,Yes,2018,December
154,Employee 154,Sales,Analyst,25-03-2019 00:00,M,34412,70,154,30-06-2025 00:00,2,37,Yes,Yes,2019,March
155,Employee 155,Sales,Manager,12-06-2018 00:00,F,131605,20,155,30-06-2025 00:00,3,68,Yes,No,2018,June
156,Employee 156,Marketing,Manager,21-05-2024 00:00,F,57156,59,156,30-06-2025 00:00,2,79,Yes,Yes,2024,May
157,Employee 157,Marketing,Executive,03-12-2023 00:00,M,75618,87,157,30-06-2025 00:00,2,19,No,Yes,2023,December
158,Employee 158,HR,Analyst,24-03-2018 00:00,F,109436,62,158,30-06-2025 00:00,1,11,Yes,No,2018,March
159,Employee 159,HR,Associate,08-01-2018 00:00,M,44229,60,159,30-06-2025 00:00,3,68,No,No,2018,January
160,Employee 160,Finance,Associate,12-08-2022 00:00,F,138442,12,160,30-06-2025 00:00,4,22,No,No,2022,August
161,Employee 161,Finance,Analyst,16-04-2024 00:00,M,77925,40,161,30-06-2025 00:00,2,62,Yes,Yes,2024,April
162,Employee 162,Sales,Analyst,25-11-2019 00:00,F,108392,76,162,30-06-2025 00:00,4,61,Yes,Yes,2019,November
163,Employee 163,Sales,Executive,08-12-2022 00:00,F,104830,89,163,30-06-2025 00:00,3,25,Yes,Yes,2022,December
164,Employee 164,IT,Executive,26-05-2022 00:00,M,29889,80,164,30-06-2025 00:00,3,13,Yes,No,2022,May
165,Employee 165,Marketing,Associate,19-11-2019 00:00,M,83588,52,165,30-06-2025 00:00,3,66,Yes,No,2019,November
166,Employee 166,Sales,Executive,30-12-2022 00:00,F,108508,92,166,30-06-2025 00:00,1,53,Yes,Yes,2022,December
167,Employee 167,HR,Associate,07-02-2021 00:00,M,69147,55,167,30-06-2025 00:00,2,47,Yes,Yes,2021,February
168,Employee 168,Sales,Manager,05-01-2020 00:00,F,83804,72,168,30-06-2025 00:00,1,53,Yes,Yes,2020,January
169,Employee 169,IT,Associate,21-12-2023 00:00,F,69746,26,169,30-06-2025 00:00,3,75,Yes,No,2023,December
170,Employee 170,HR,Manager,05-12-2020 00:00,F,75944,68,170,30-06-2025 00:00,3,27,No,No,2020,December
171,Employee 171,IT,Manager,06-03-2019 00:00,M,104769,78,171,30-06-2025 00:00,1,48,No,No,2019,March
172,Employee 172,Marketing,Analyst,22-03-2020 00:00,M,84938,10,172,30-06-2025 00:00,2,47,No,No,2020,March
173,Employee 173,IT,Analyst,28-04-2024 00:00,M,134741,42,173,30-06-2025 00:00,2,9,Yes,No,2024,April
174,Employee 174,Sales,Associate,06-03-2019 00:00,M,48519,49,174,30-06-2025 00:00,3,39,Yes,Yes,2019,March
175,Employee 175,Marketing,Executive,23-12-2022 00:00,F,41201,22,175,30-06-2025 00:00,3,64,Yes,Yes,2022,December
176,Employee 176,Sales,Executive,02-04-2022 00:00,M,135422,67,176,30-06-2025 00:00,1,4,No,No,2022,April
177,Employee 177,Marketing,Analyst,04-01-2024 00:00,M,145029,86,177,30-06-2025 00:00,5,56,Yes,No,2024,January
178,Employee 178,IT,Analyst,02-08-2022 00:00,F,65574,75,178,30-06-2025 00:00,3,31,Yes,No,2022,August
179,Employee 179,Marketing,Manager,15-11-2023 00:00,F,146827,91,179,30-06-2025 00:00,2,61,No,No,2023,November
180,Employee 180,Marketing,Associate,22-06-2019 00:00,M,75562,42,180,30-06-2025 00:00,2,22,No,No,2019,June
181,Employee 181,HR,Executive,05-05-2023 00:00,M,80423,49,181,30-06-2025 00:00,3,39,No,No,2023,May
182,Employee 182,Sales,Analyst,12-09-2022 00:00,F,78175,2,182,30-06-2025 00:00,3,28,Yes,Yes,2022,September
183,Employee 183,Marketing,Executive,03-09-2023 00:00,M,101324,42,183,30-06-2025 00:00,3,65,No,No,2023,September
184,Employee 184,Sales,Associate,01-04-2023 00:00,M,128242,87,184,30-06-2025 00:00,5,30,No,Yes,2023,April
185,Employee 185,IT,Analyst,14-09-2021 00:00,M,68770,82,185,30-06-2025 00:00,5,75,No,No,2021,September
186,Employee 186,Sales,Analyst,02-02-2018 00:00,M,102746,61,186,30-06-2025 00:00,3,42,No,Yes,2018,February
187,Employee 187,Sales,Associate,16-09-2019 00:00,F,26433,93,187,30-06-2025 00:00,3,25,No,No,2019,September
188,Employee 188,HR,Associate,30-08-2018 00:00,M,128269,9,188,30-06-2025 00:00,2,33,Yes,No,2018,August
189,Employee 189,Marketing,Manager,11-09-2022 00:00,F,145193,79,189,30-06-2025 00:00,5,6,Yes,Yes,2022,September
190,Employee 190,IT,Analyst,12-04-2018 00:00,F,125207,86,190,30-06-2025 00:00,3,44,No,Yes,2018,April
191,Employee 191,Marketing,Manager,26-03-2022 00:00,M,83899,19,191,30-06-2025 00:00,3,8,Yes,No,2022,March
192,Employee 192,IT,Analyst,21-12-2021 00:00,M,87158,57,192,30-06-2025 00:00,2,53,No,Yes,2021,December
193,Employee 193,Marketing,Analyst,25-01-2023 00:00,M,120282,98,193,30-06-2025 00:00,4,21,No,No,2023,January
194,Employee 194,IT,Executive,02-03-2018 00:00,F,66643,34,194,30-06-2025 00:00,4,80,No,No,2018,March
195,Employee 195,Marketing,Executive,28-06-2018 00:00,F,148151,13,195,30-06-2025 00:00,3,22,Yes,No,2018,June
196,Employee 196,Sales,Analyst,23-04-2022 00:00,M,59942,20,196,30-06-2025 00:00,4,71,Yes,Yes,2022,April
197,Employee 197,Sales,Associate,03-01-2021 00:00,F,53108,25,197,30-06-2025 00:00,1,43,No,No,2021,January
198,Employee 198,Finance,Analyst,07-08-2018 00:00,F,60034,52,198,30-06-2025 00:00,4,33,No,Yes,2018,August
199,Employee 199,Marketing,Manager,03-08-2024 00:00,F,104987,22,199,30-06-2025 00:00,2,40,Yes,No,2024,August
200,Employee 200,Finance,Executive,21-06-2024 00:00,M,35988,40,200,30-06-2025 00:00,2,55,No,No,2024,June
201,Employee 201,IT,Manager,12-11-2018 00:00,M,32739,30,201,30-06-2025 00:00,3,15,Yes,Yes,2018,November
202,Employee 202,Sales,Analyst,27-11-2018 00:00,M,119882,70,202,30-06-2025 00:00,2,16,Yes,Yes,2018,November
203,Employee 203,Sales,Executive,05-01-2019 00:00,F,80653,12,203,30-06-2025 00:00,2,9,No,Yes,2019,January
204,Employee 204,HR,Executive,11-09-2022 00:00,F,119555,94,204,30-06-2025 00:00,5,3,Yes,Yes,2022,September
205,Employee 205,Marketing,Manager,11-04-2021 00:00,F,46369,9,205,30-06-2025 00:00,5,72,Yes,No,2021,April
206,Employee 206,Marketing,Analyst,29-01-2019 00:00,M,128910,70,206,30-06-2025 00:00,5,1,No,No,2019,January
207,Employee 207,HR,Manager,22-09-2022 00:00,M,108569,9,207,30-06-2025 00:00,1,19,Yes,Yes,2022,September
208,Employee 208,Marketing,Executive,02-12-2019 00:00,M,38199,52,208,30-06-2025 00:00,3,70,Yes,No,2019,December
209,Employee 209,IT,Associate,15-09-2023 00:00,F,36653,66,209,30-06-2025 00:00,4,74,No,No,2023,September
210,Employee 210,Sales,Associate,30-09-2021 00:00,M,30187,31,210,30-06-2025 00:00,2,57,No,Yes,2021,September
211,Employee 211,HR,Analyst,03-07-2020 00:00,M,46109,99,211,30-06-2025 00:00,2,67,Yes,No,2020,July
212,Employee 212,Finance,Executive,05-12-2021 00:00,M,143029,67,212,30-06-2025 00:00,1,47,Yes,Yes,2021,December
213,Employee 213,IT,Manager,14-09-2024 00:00,M,61472,57,213,30-06-2025 00:00,2,50,No,Yes,2024,September
214,Employee 214,Sales,Manager,19-02-2019 00:00,M,38764,56,214,30-06-2025 00:00,4,80,No,Yes,2019,February
215,Employee 215,Marketing,Analyst,29-07-2024 00:00,F,131120,88,215,30-06-2025 00:00,2,26,No,No,2024,July
216,Employee 216,HR,Executive,08-08-2018 00:00,F,50743,10,216,30-06-2025 00:00,5,73,No,No,2018,August
217,Employee 217,IT,Manager,20-10-2020 00:00,F,53439,70,217,30-06-2025 00:00,3,48,Yes,Yes,2020,October
218,Employee 218,Marketing,Executive,07-03-2024 00:00,M,75773,4,218,30-06-2025 00:00,4,44,Yes,No,2024,March
219,Employee 219,Finance,Associate,17-07-2019 00:00,F,71695,4,219,30-06-2025 00:00,4,68,No,Yes,2019,July
220,Employee 220,HR,Executive,28-05-2019 00:00,M,33954,64,220,30-06-2025 00:00,3,32,No,Yes,2019,May
221,Employee 221,Finance,Associate,14-10-2024 00:00,M,53918,72,221,30-06-2025 00:00,5,75,No,No,2024,October
222,Employee 222,HR,Manager,25-02-2022 00:00,F,58436,77,222,30-06-2025 00:00,4,21,No,Yes,2022,February
